requirement_id,spec_section,description,implementation,test_refs
SPEC-12.1-ROUNDTRIP,§12.1,Semantic round-trip matches canonical fixture,jac-codec/tests/conformance.rs::build_spec_block,jac-codec/tests/conformance.rs::spec12_round_trip_matches_fixture
SPEC-12.1-PROJECTION,§12.1,Projection of `user` yields canonical sequence,jac-codec/tests/conformance.rs::build_spec_block;jac-io/src/reader.rs,jac-codec/tests/conformance.rs::spec12_projection_yields_expected_sequence;jac-cli/tests/cli.rs::spec_fixture_cli_conformance
SPEC-12.1-ENCODING,§12.1,Delta and dictionary flags set per fixture expectations,jac-codec/src/column.rs;jac-codec/src/block_builder.rs,jac-codec/tests/conformance.rs::spec12_field_encodings_match_requirements
ERR-CHECKSUM,§8,Truncated checksum surfaces `ChecksumMismatch`,jac-io/src/reader.rs,jac-io/tests/error_cases.rs::reader_reports_checksum_mismatch
ERR-DICTIONARY-OOB,§4.4,Invalid dictionary index raises `DictionaryError`,jac-io/src/reader.rs;jac-codec/src/segment_decode.rs,jac-io/tests/error_cases.rs::reader_reports_dictionary_index_error
ERR-UNSUPPORTED-CODEC,§4.6,Unknown compressor rejected with `UnsupportedCompression`,jac-io/src/reader.rs;jac-codec/src/segment.rs,jac-io/tests/error_cases.rs::reader_reports_unsupported_compression
ERR-INVALID-MAGIC,§8,Invalid magic bytes rejected at reader initialization,jac-io/src/reader.rs,jac-io/tests/error_cases.rs::reader_rejects_invalid_magic
ERR-LIMIT-STRING,Addendum §2.1,String length limit enforced before allocation,jac-io/src/reader.rs;jac-format/src/limits.rs,jac-io/tests/error_cases.rs::reader_enforces_string_length_limit
ERR-CORRUPT-BLOCK,§8,Corrupted block header detected during iteration,jac-io/src/reader.rs;jac-format/src/block.rs,jac-io/tests/error_cases.rs::reader_rejects_corrupt_block_header
ERR-UNEXPECTED-EOF,§8,Truncated block surfaces `UnexpectedEof`,jac-io/src/reader.rs,jac-io/tests/error_cases.rs::reader_reports_unexpected_eof_for_truncated_block
ERR-RESERVED-TAG,§4.3,Reserved type tag 7 rejected with `UnsupportedFeature`,jac-codec/src/segment_decode.rs;jac-io/src/reader.rs,jac-io/tests/error_cases.rs::reader_reports_reserved_type_tag
ERR-DECOMPRESS,§4.6,Invalid compressed payload surfaces `DecompressError`,jac-codec/src/segment_decode.rs;jac-io/src/reader.rs,jac-io/tests/error_cases.rs::reader_reports_decompress_error
ERR-TYPE-MISMATCH,§8,JSON-array input validation raises `TypeMismatch`,jac-io/src/lib.rs,jac-io/tests/error_cases.rs::compress_json_array_type_mismatch
ERR-UNSUPPORTED-VERSION,§8,Future file version rejected during header decode,jac-format/src/header.rs;jac-io/src/reader.rs,jac-io/tests/error_cases.rs::reader_rejects_unsupported_version
ERR-CORRUPT-HEADER,§8,Corrupted file header rejected before block decode,jac-format/src/header.rs;jac-io/src/reader.rs,jac-io/tests/error_cases.rs::reader_reports_corrupt_header
ERR-JSON-INPUT,§4,Invalid NDJSON input rejected with `Json` error,jac-io/src/lib.rs,jac-io/tests/error_cases.rs::compress_invalid_ndjson_reports_json_error
ERR-IO-OUTPUT,§8,Decompression propagates sink I/O failures as `Io`,jac-io/src/lib.rs,jac-io/tests/error_cases.rs::decompress_reports_io_error_on_output_failure
ERR-IO-INPUT,§4,Missing input path surfaces `Io` during compression,jac-io/src/lib.rs,jac-io/tests/error_cases.rs::compress_missing_file_reports_io_error
ERR-INTERNAL-PROJECT,§8,Invalid project request yields `Internal` error,jac-io/src/lib.rs,jac-io/tests/error_cases.rs::project_empty_fields_reports_internal_error
CLI-MISSING-FIELD,§8,CLI `cat` surfaces available fields when request is invalid,jac-cli/src/main.rs,jac-cli/tests/cli.rs::cat_unknown_field_fails
CLI-NDJSON-BOM,§4,CLI `pack --ndjson` accepts BOM-prefixed input,jac-cli/src/main.rs,jac-cli/tests/cli.rs::pack_accepts_bom_prefixed_ndjson
CLI-INVALID-FORMAT,§8,CLI rejects unsupported `pack` flags with helpful diagnostic,jac-cli/src/main.rs,jac-cli/tests/missing/mod.rs::pack_with_unknown_format_flag_fails
ERR-MATRIX-INVALID-MAGIC,§8,Invalid magic bytes rejected with `InvalidMagic`,jac-io/src/reader.rs,jac-io/tests/error_matrix.rs::test_invalid_magic
ERR-MATRIX-UNSUPPORTED-VERSION,§8,Unsupported version rejected with `UnsupportedVersion`,jac-format/src/header.rs,jac-io/tests/error_matrix.rs::test_unsupported_version
ERR-MATRIX-CORRUPT-HEADER,§8,Corrupt header metadata rejected with `CorruptHeader`,jac-io/src/reader.rs,jac-io/tests/error_matrix.rs::test_corrupt_header
ERR-MATRIX-CORRUPT-BLOCK,§8,Corrupt block header rejected with `CorruptBlock`,jac-format/src/block.rs,jac-io/tests/error_matrix.rs::test_corrupt_block
ERR-MATRIX-CHECKSUM-MISMATCH,§8,Checksum mismatch rejected with `ChecksumMismatch`,jac-io/src/reader.rs,jac-io/tests/error_matrix.rs::test_checksum_mismatch
ERR-MATRIX-UNEXPECTED-EOF,§8,Truncated input rejected with `UnexpectedEof`,jac-io/src/reader.rs,jac-io/tests/error_matrix.rs::test_unexpected_eof
ERR-MATRIX-DECOMPRESS-ERROR,§8,Decompression failure rejected with `DecompressError`,jac-codec/src/segment_decode.rs,jac-io/tests/error_matrix.rs::test_decompress_error
ERR-MATRIX-LIMIT-EXCEEDED,§8,Limit exceeded rejected with `LimitExceeded`,jac-format/src/limits.rs,jac-io/tests/error_matrix.rs::test_limit_exceeded
ERR-MATRIX-TYPE-MISMATCH,§8,Type mismatch rejected with `TypeMismatch`,jac-io/src/lib.rs,jac-io/tests/error_matrix.rs::test_type_mismatch
ERR-MATRIX-DICTIONARY-ERROR,§8,Dictionary index error rejected with `DictionaryError`,jac-codec/src/segment_decode.rs,jac-io/tests/error_matrix.rs::test_dictionary_error
ERR-MATRIX-UNSUPPORTED-FEATURE,§8,Unsupported feature rejected with `UnsupportedFeature`,jac-codec/src/segment_decode.rs,jac-io/tests/error_matrix.rs::test_unsupported_feature
ERR-MATRIX-UNSUPPORTED-COMPRESSION,§8,Unsupported compression rejected with `UnsupportedCompression`,jac-codec/src/segment.rs,jac-io/tests/error_matrix.rs::test_unsupported_compression
ERR-MATRIX-IO-INPUT,§8,Input I/O error propagated as `Io`,jac-io/src/lib.rs,jac-io/tests/error_matrix.rs::test_io_input_error
ERR-MATRIX-IO-OUTPUT,§8,Output I/O error propagated as `Io`,jac-io/src/lib.rs,jac-io/tests/error_matrix.rs::test_io_output_error
ERR-MATRIX-JSON-ERROR,§8,JSON parsing error propagated as `Json`,jac-io/src/lib.rs,jac-io/tests/error_matrix.rs::test_json_error
ERR-MATRIX-INTERNAL-ERROR,§8,Internal error rejected with `Internal`,jac-io/src/lib.rs,jac-io/tests/error_matrix.rs::test_internal_error
SPEC-3.4-BLOCK-CRC,§3.4,"Block CRC32C MUST be verified",jac-io/src/reader.rs,jac-io/tests/error_cases.rs::reader_reports_checksum_mismatch
